FIPS Code,State and area,Year,Month,Civilian non-institutional population,Total,Percent of population,EmploymentTotal,Percent of population,UnemploymentTotal,UnemplotmentRate
34,New Jersey,2017,1,"7,247,748   ","4,584,364   ",63.3   ,"4,352,232   ",60.0   ,"232,132   ",5.1   
35,New Mexico,2017,1,"1,624,490   ","944,040   ",58.1   ,"878,075   ",54.1   ,"65,965   ",7.0   
36,New York,2017,1,"16,156,296   ","9,759,716   ",60.4   ,"9,257,663   ",57.3   ,"502,053   ",5.1   
51000,New York city,2017,1,"7,080,225   ","4,274,446   ",60.4   ,"4,059,668   ",57.3   ,"214,778   ",5.0   
37,North Carolina,2017,1,"7,886,166   ","4,779,210   ",60.6   ,"4,534,074   ",57.5   ,"245,136   ",5.1   
38,North Dakota,2017,1,"587,526   ","410,006   ",69.8   ,"395,013   ",67.2   ,"14,993   ",3.7   
39,Ohio,2017,1,"9,219,681   ","5,742,169   ",62.3   ,"5,387,942   ",58.4   ,"354,227   ",6.2   
40,Oklahoma,2017,1,"2,984,536   ","1,806,323   ",60.5   ,"1,722,808   ",57.7   ,"83,515   ",4.6   
41,Oregon,2017,1,"3,305,943   ","2,021,605   ",61.2   ,"1,929,169   ",58.4   ,"92,436   ",4.6   
42,Pennsylvania,2017,1,"10,343,705   ","6,454,653   ",62.4   ,"6,089,327   ",58.9   ,"365,326   ",5.7   
44,Rhode Island,2017,1,"880,263   ","564,973   ",64.2   ,"533,950   ",60.7   ,"31,023   ",5.5   
45,South Carolina,2017,1,"3,874,074   ","2,242,555   ",57.9   ,"2,129,115   ",55.0   ,"113,440   ",5.1   
46,South Dakota,2017,1,"655,546   ","446,314   ",68.1   ,"430,250   ",65.6   ,"16,064   ",3.6   
47,Tennessee,2017,1,"5,258,256   ","3,152,872   ",60.0   ,"2,994,788   ",57.0   ,"158,084   ",5.0   
48,Texas,2017,1,"20,991,065   ","13,336,486   ",63.5   ,"12,665,043   ",60.3   ,"671,443   ",5.0   
49,Utah,2017,1,"2,234,921   ","1,528,092   ",68.4   ,"1,475,696   ",66.0   ,"52,396   ",3.4   
50,Vermont,2017,1,"526,562   ","353,090   ",67.1   ,"340,221   ",64.6   ,"12,869   ",3.6   
51,Virginia,2017,1,"6,599,775   ","4,282,737   ",64.9   ,"4,094,809   ",62.0   ,"187,928   ",4.4   
53,Washington,2017,1,"5,801,814   ","3,678,728   ",63.4   ,"3,476,785   ",59.9   ,"201,943   ",5.5   
54,West Virginia,2017,1,"1,471,758   ","775,554   ",52.7   ,"726,209   ",49.3   ,"49,345   ",6.4   
55,Wisconsin,2017,1,"4,605,900   ","3,097,180   ",67.2   ,"2,976,024   ",64.6   ,"121,156   ",3.9   
56,Wyoming,2017,1,"446,980   ","292,712   ",65.5   ,"276,570   ",61.9   ,"16,142   ",5.5   
1,Alabama,2017,2,"3,880,377   ","2,195,667   ",56.6   ,"2,071,956   ",53.4   ,"123,711   ",5.6   
2,Alaska,2017,2,"546,528   ","360,252   ",65.9   ,"333,489   ",61.0   ,"26,763   ",7.4   
4,Arizona,2017,2,"5,309,943   ","3,216,692   ",60.6   ,"3,053,011   ",57.5   ,"163,681   ",5.1   
5,Arkansas,2017,2,"2,308,840   ","1,339,650   ",58.0   ,"1,281,052   ",55.5   ,"58,598   ",4.4   
6,California,2017,2,"30,730,853   ","19,180,108   ",62.4   ,"18,133,020   ",59.0   ,"1,047,088   ",5.5   
37,Los Angeles County,2017,2,"8,070,994   ","5,111,439   ",63.3   ,"4,852,845   ",60.1   ,"258,594   ",5.1   
8,Colorado,2017,2,"4,350,022   ","2,920,220   ",67.1   ,"2,836,011   ",65.2   ,"84,209   ",2.9   
9,Connecticut,2017,2,"2,898,550   ","1,913,385   ",66.0   ,"1,816,258   ",62.7   ,"97,127   ",5.1   
10,Delaware,2017,2,"760,902   ","472,262   ",62.1   ,"448,298   ",58.9   ,"23,964   ",5.1   
11,District of Columbia,2017,2,"556,522   ","393,335   ",70.7   ,"367,473   ",66.0   ,"25,862   ",6.6   
12,Florida,2017,2,"16,713,344   ","9,903,298   ",59.3   ,"9,456,329   ",56.6   ,"446,969   ",4.5   
13,Georgia,2017,2,"7,956,034   ","5,089,366   ",64.0   ,"4,823,326   ",60.6   ,"266,040   ",5.2   
15,Hawaii,2017,2,"1,119,730   ","699,787   ",62.5   ,"682,056   ",60.9   ,"17,731   ",2.5   
16,Idaho,2017,2,"1,302,316   ","826,398   ",63.5   ,"792,469   ",60.9   ,"33,929   ",4.1   
17,Illinois,2017,2,"10,141,191   ","6,536,330   ",64.5   ,"6,174,437   ",60.9   ,"361,893   ",5.5   
18,Indiana,2017,2,"5,178,053   ","3,300,672   ",63.7   ,"3,159,176   ",61.0   ,"141,496   ",4.3   
19,Iowa,2017,2,"2,461,061   ","1,695,718   ",68.9   ,"1,631,634   ",66.3   ,"64,084   ",3.8   
20,Kansas,2017,2,"2,226,097   ","1,488,583   ",66.9   ,"1,429,133   ",64.2   ,"59,450   ",4.0   
21,Kentucky,2017,2,"3,483,629   ","2,040,337   ",58.6   ,"1,924,698   ",55.2   ,"115,639   ",5.7   
22,Louisiana,2017,2,"3,586,667   ","2,094,316   ",58.4   ,"1,981,217   ",55.2   ,"113,099   ",5.4   
23,Maine,2017,2,"1,103,944   ","693,985   ",62.9   ,"665,320   ",60.3   ,"28,665   ",4.1   
24,Maryland,2017,2,"4,788,285   ","3,212,916   ",67.1   ,"3,073,813   ",64.2   ,"139,103   ",4.3   
25,Massachusetts,2017,2,"5,636,190   ","3,689,730   ",65.5   ,"3,528,390   ",62.6   ,"161,340   ",4.4   
26,Michigan,2017,2,"7,985,056   ","4,880,454   ",61.1   ,"4,620,199   ",57.9   ,"260,255   ",5.3   
27,Minnesota,2017,2,"4,364,489   ","3,052,621   ",69.9   ,"2,916,202   ",66.8   ,"136,419   ",4.5   
28,Mississippi,2017,2,"2,283,722   ","1,266,403   ",55.5   ,"1,200,579   ",52.6   ,"65,824   ",5.2   
29,Missouri,2017,2,"4,767,638   ","3,045,202   ",63.9   ,"2,903,119   ",60.9   ,"142,083   ",4.7   
30,Montana,2017,2,"832,787   ","523,456   ",62.9   ,"497,863   ",59.8   ,"25,593   ",4.9   
31,Nebraska,2017,2,"1,469,826   ","1,016,548   ",69.2   ,"982,577   ",66.8   ,"33,971   ",3.3   
32,Nevada,2017,2,"2,291,388   ","1,431,505   ",62.5   ,"1,354,953   ",59.1   ,"76,552   ",5.3   
33,New Hampshire,2017,2,"1,109,143   ","756,578   ",68.2   ,"730,435   ",65.9   ,"26,143   ",3.5   
34,New Jersey,2017,2,"7,251,379   ","4,609,343   ",63.6   ,"4,375,596   ",60.3   ,"233,747   ",5.1   
35,New Mexico,2017,2,"1,624,795   ","949,236   ",58.4   ,"884,341   ",54.4   ,"64,895   ",6.8   
36,New York,2017,2,"16,158,535   ","9,781,004   ",60.5   ,"9,268,794   ",57.4   ,"512,210   ",5.2   
51000,New York city,2017,2,"7,081,821   ","4,317,178   ",61.0   ,"4,105,105   ",58.0   ,"212,073   ",4.9   
37,North Carolina,2017,2,"7,893,306   ","4,825,860   ",61.1   ,"4,592,121   ",58.2   ,"233,739   ",4.8   
38,North Dakota,2017,2,"587,456   ","413,168   ",70.3   ,"398,062   ",67.8   ,"15,106   ",3.7   
39,Ohio,2017,2,"9,221,911   ","5,777,448   ",62.6   ,"5,430,574   ",58.9   ,"346,874   ",6.0   
40,Oklahoma,2017,2,"2,984,642   ","1,813,034   ",60.7   ,"1,730,790   ",58.0   ,"82,244   ",4.5   
41,Oregon,2017,2,"3,309,816   ","2,046,089   ",61.8   ,"1,959,579   ",59.2   ,"86,510   ",4.2   
42,Pennsylvania,2017,2,"10,344,961   ","6,481,262   ",62.7   ,"6,112,840   ",59.1   ,"368,422   ",5.7   
44,Rhode Island,2017,2,"880,516   ","567,316   ",64.4   ,"536,963   ",61.0   ,"30,353   ",5.4   
45,South Carolina,2017,2,"3,877,890   ","2,251,710   ",58.1   ,"2,146,853   ",55.4   ,"104,857   ",4.7   
46,South Dakota,2017,2,"656,038   ","450,229   ",68.6   ,"433,689   ",66.1   ,"16,540   ",3.7   
47,Tennessee,2017,2,"5,262,492   ","3,171,289   ",60.3   ,"3,025,393   ",57.5   ,"145,896   ",4.6   
48,Texas,2017,2,"21,015,833   ","13,435,677   ",63.9   ,"12,768,349   ",60.8   ,"667,328   ",5.0   
49,Utah,2017,2,"2,239,361   ","1,540,074   ",68.8   ,"1,484,604   ",66.3   ,"55,470   ",3.6   
50,Vermont,2017,2,"526,747   ","353,499   ",67.1   ,"340,897   ",64.7   ,"12,602   ",3.6   
51,Virginia,2017,2,"6,603,839   ","4,321,709   ",65.4   ,"4,140,796   ",62.7   ,"180,913   ",4.2   
53,Washington,2017,2,"5,810,450   ","3,701,655   ",63.7   ,"3,506,504   ",60.3   ,"195,151   ",5.3   
54,West Virginia,2017,2,"1,470,722   ","779,899   ",53.0   ,"730,722   ",49.7   ,"49,177   ",6.3   
55,Wisconsin,2017,2,"4,607,529   ","3,117,115   ",67.7   ,"2,991,404   ",64.9   ,"125,711   ",4.0   
56,Wyoming,2017,2,"446,644   ","292,619   ",65.5   ,"277,855   ",62.2   ,"14,764   ",5.0   
1,Alabama,2017,3,"3,882,073   ","2,199,288   ",56.7   ,"2,089,518   ",53.8   ,"109,770   ",5.0   
2,Alaska,2017,3,"546,410   ","358,850   ",65.7   ,"333,566   ",61.0   ,"25,284   ",7.0   
4,Arizona,2017,3,"5,316,251   ","3,232,584   ",60.8   ,"3,074,647   ",57.8   ,"157,937   ",4.9   
5,Arkansas,2017,3,"2,309,503   ","1,345,614   ",58.3   ,"1,296,840   ",56.2   ,"48,774   ",3.6   
6,California,2017,3,"30,745,499   ","19,205,530   ",62.5   ,"18,209,367   ",59.2   ,"996,163   ",5.2   
37,Los Angeles County,2017,3,"8,073,161   ","5,120,580   ",63.4   ,"4,880,017   ",60.4   ,"240,563   ",4.7   
8,Colorado,2017,3,"4,355,381   ","2,922,833   ",67.1   ,"2,853,664   ",65.5   ,"69,169   ",2.4   
9,Connecticut,2017,3,"2,898,825   ","1,926,956   ",66.5   ,"1,836,653   ",63.4   ,"90,303   ",4.7   
10,Delaware,2017,3,"761,494   ","474,605   ",62.3   ,"452,305   ",59.4   ,"22,300   ",4.7   
11,District of Columbia,2017,3,"556,839   ","392,241   ",70.4   ,"368,483   ",66.2   ,"23,758   ",6.1   
12,Florida,2017,3,"16,736,013   ","9,924,777   ",59.3   ,"9,499,717   ",56.8   ,"425,060   ",4.3   
13,Georgia,2017,3,"7,964,452   ","5,106,338   ",64.1   ,"4,855,676   ",61.0   ,"250,662   ",4.9   
15,Hawaii,2017,3,"1,119,735   ","702,825   ",62.8   ,"686,283   ",61.3   ,"16,542   ",2.4   
16,Idaho,2017,3,"1,304,918   ","829,599   ",63.6   ,"798,052   ",61.2   ,"31,547   ",3.8   
17,Illinois,2017,3,"10,140,753   ","6,548,054   ",64.6   ,"6,220,339   ",61.3   ,"327,715   ",5.0   
18,Indiana,2017,3,"5,180,074   ","3,315,956   ",64.0   ,"3,194,422   ",61.7   ,"121,534   ",3.7   
19,Iowa,2017,3,"2,461,884   ","1,694,810   ",68.8   ,"1,635,742   ",66.4   ,"59,068   ",3.5   
20,Kansas,2017,3,"2,226,099   ","1,486,520   ",66.8   ,"1,431,383   ",64.3   ,"55,137   ",3.7   
21,Kentucky,2017,3,"3,484,877   ","2,056,303   ",59.0   ,"1,946,785   ",55.9   ,"109,518   ",5.3   
22,Louisiana,2017,3,"3,586,208   ","2,105,491   ",58.7   ,"1,997,084   ",55.7   ,"108,407   ",5.1   
23,Maine,2017,3,"1,104,344   ","697,966   ",63.2   ,"671,172   ",60.8   ,"26,794   ",3.8   
24,Maryland,2017,3,"4,790,363   ","3,232,414   ",67.5   ,"3,104,080   ",64.8   ,"128,334   ",4.0   
25,Massachusetts,2017,3,"5,639,974   ","3,709,355   ",65.8   ,"3,560,652   ",63.1   ,"148,703   ",4.0   
26,Michigan,2017,3,"7,987,875   ","4,887,622   ",61.2   ,"4,652,572   ",58.2   ,"235,050   ",4.8   
27,Minnesota,2017,3,"4,367,592   ","3,064,107   ",70.2   ,"2,935,587   ",67.2   ,"128,520   ",4.2   
28,Mississippi,2017,3,"2,283,908   ","1,272,420   ",55.7   ,"1,206,637   ",52.8   ,"65,783   ",5.2   
29,Missouri,2017,3,"4,769,071   ","3,049,890   ",64.0   ,"2,920,611   ",61.2   ,"129,279   ",4.2   
30,Montana,2017,3,"833,593   ","526,537   ",63.2   ,"501,864   ",60.2   ,"24,673   ",4.7   
31,Nebraska,2017,3,"1,470,630   ","1,018,226   ",69.2   ,"987,389   ",67.1   ,"30,837   ",3.0   
32,Nevada,2017,3,"2,294,862   ","1,432,867   ",62.4   ,"1,359,668   ",59.2   ,"73,199   ",5.1   
33,New Hampshire,2017,3,"1,109,868   ","759,297   ",68.4   ,"735,472   ",66.3   ,"23,825   ",3.1   
34,New Jersey,2017,3,"7,255,044   ","4,613,450   ",63.6   ,"4,403,352   ",60.7   ,"210,098   ",4.6   
35,New Mexico,2017,3,"1,625,091   ","946,904   ",58.3   ,"887,013   ",54.6   ,"59,891   ",6.3   
36,New York,2017,3,"16,161,112   ","9,828,478   ",60.8   ,"9,374,183   ",58.0   ,"454,295   ",4.6   
51000,New York city,2017,3,"7,083,667   ","4,329,153   ",61.1   ,"4,138,623   ",58.4   ,"190,530   ",4.4   
37,North Carolina,2017,3,"7,901,105   ","4,852,563   ",61.4   ,"4,636,660   ",58.7   ,"215,903   ",4.4   
38,North Dakota,2017,3,"587,405   ","414,619   ",70.6   ,"400,763   ",68.2   ,"13,856   ",3.3   
39,Ohio,2017,3,"9,224,591   ","5,790,710   ",62.8   ,"5,482,664   ",59.4   ,"308,046   ",5.3   
40,Oklahoma,2017,3,"2,984,883   ","1,820,259   ",61.0   ,"1,746,119   ",58.5   ,"74,140   ",4.1   
41,Oregon,2017,3,"3,313,808   ","2,059,354   ",62.1   ,"1,972,180   ",59.5   ,"87,174   ",4.2   
42,Pennsylvania,2017,3,"10,346,600   ","6,476,758   ",62.6   ,"6,135,239   ",59.3   ,"341,519   ",5.3   
44,Rhode Island,2017,3,"880,776   ","566,247   ",64.3   ,"538,953   ",61.2   ,"27,294   ",4.8   
45,South Carolina,2017,3,"3,882,127   ","2,260,157   ",58.2   ,"2,167,407   ",55.8   ,"92,750   ",4.1   
46,South Dakota,2017,3,"656,570   ","452,187   ",68.9   ,"437,216   ",66.6   ,"14,971   ",3.3   
47,Tennessee,2017,3,"5,267,041   ","3,176,731   ",60.3   ,"3,045,041   ",57.8   ,"131,690   ",4.1   
48,Texas,2017,3,"21,040,970   ","13,454,845   ",63.9   ,"12,834,232   ",61.0   ,"620,613   ",4.6   
49,Utah,2017,3,"2,243,933   ","1,544,462   ",68.8   ,"1,492,418   ",66.5   ,"52,044   ",3.4   
50,Vermont,2017,3,"526,963   ","355,952   ",67.5   ,"343,556   ",65.2   ,"12,396   ",3.5   
51,Virginia,2017,3,"6,608,213   ","4,352,913   ",65.9   ,"4,180,092   ",63.3   ,"172,821   ",4.0   
53,Washington,2017,3,"5,819,372   ","3,709,849   ",63.7   ,"3,529,358   ",60.6   ,"180,491   ",4.9   
54,West Virginia,2017,3,"1,469,803   ","775,077   ",52.7   ,"731,050   ",49.7   ,"44,027   ",5.7   
55,Wisconsin,2017,3,"4,609,387   ","3,119,852   ",67.7   ,"3,008,885   ",65.3   ,"110,967   ",3.6   
56,Wyoming,2017,3,"446,322   ","293,906   ",65.9   ,"279,843   ",62.7   ,"14,063   ",4.8   
1,Alabama,2017,4,"3,883,878   ","2,202,139   ",56.7   ,"2,108,072   ",54.3   ,"94,067   ",4.3   
2,Alaska,2017,4,"546,526   ","357,911   ",65.5   ,"334,312   ",61.2   ,"23,599   ",6.6   
4,Arizona,2017,4,"5,322,750   ","3,222,750   ",60.5   ,"3,069,914   ",57.7   ,"152,836   ",4.7   
5,Arkansas,2017,4,"2,310,166   ","1,351,413   ",58.5   ,"1,308,109   ",56.6   ,"43,304   ",3.2   
6,California,2017,4,"30,762,547   ","19,112,987   ",62.1   ,"18,209,794   ",59.2   ,"903,193   ",4.7   
37,Los Angeles County,2017,4,"8,075,594   ","5,109,231   ",63.3   ,"4,880,002   ",60.4   ,"229,229   ",4.5   
8,Colorado,2017,4,"4,361,055   ","2,929,596   ",67.2   ,"2,863,093   ",65.7   ,"66,503   ",2.3   
9,Connecticut,2017,4,"2,899,185   ","1,920,035   ",66.2   ,"1,839,014   ",63.4   ,"81,021   ",4.2   
10,Delaware,2017,4,"762,116   ","474,846   ",62.3   ,"454,253   ",59.6   ,"20,593   ",4.3   
11,District of Columbia,2017,4,"557,257   ","391,723   ",70.3   ,"370,158   ",66.4   ,"21,565   ",5.5   
12,Florida,2017,4,"16,759,478   ","9,961,809   ",59.4   ,"9,560,502   ",57.0   ,"401,307   ",4.0   
13,Georgia,2017,4,"7,973,424   ","5,095,121   ",63.9   ,"4,861,088   ",61.0   ,"234,033   ",4.6   
15,Hawaii,2017,4,"1,120,135   ","701,504   ",62.6   ,"685,469   ",61.2   ,"16,035   ",2.3   
16,Idaho,2017,4,"1,307,536   ","830,012   ",63.5   ,"803,853   ",61.5   ,"26,159   ",3.2   
17,Illinois,2017,4,"10,140,803   ","6,519,713   ",64.3   ,"6,216,494   ",61.3   ,"303,219   ",4.7   
18,Indiana,2017,4,"5,182,134   ","3,327,434   ",64.2   ,"3,230,656   ",62.3   ,"96,778   ",2.9   
19,Iowa,2017,4,"2,462,639   ","1,701,810   ",69.1   ,"1,652,328   ",67.1   ,"49,482   ",2.9   
20,Kansas,2017,4,"2,226,308   ","1,485,190   ",66.7   ,"1,434,541   ",64.4   ,"50,649   ",3.4   
21,Kentucky,2017,4,"3,486,263   ","2,057,546   ",59.0   ,"1,963,124   ",56.3   ,"94,422   ",4.6   
22,Louisiana,2017,4,"3,585,852   ","2,111,070   ",58.9   ,"2,004,763   ",55.9   ,"106,307   ",5.0   
23,Maine,2017,4,"1,104,773   ","699,565   ",63.3   ,"674,399   ",61.0   ,"25,166   ",3.6   
24,Maryland,2017,4,"4,792,668   ","3,227,718   ",67.3   ,"3,112,163   ",64.9   ,"115,555   ",3.6   
25,Massachusetts,2017,4,"5,643,796   ","3,701,627   ",65.6   ,"3,569,713   ",63.3   ,"131,914   ",3.6   
26,Michigan,2017,4,"7,990,683   ","4,861,089   ",60.8   ,"4,673,001   ",58.5   ,"188,088   ",3.9   
27,Minnesota,2017,4,"4,370,718   ","3,065,169   ",70.1   ,"2,958,567   ",67.7   ,"106,602   ",3.5   
28,Mississippi,2017,4,"2,284,182   ","1,274,578   ",55.8   ,"1,213,651   ",53.1   ,"60,927   ",4.8   
29,Missouri,2017,4,"4,770,646   ","3,064,194   ",64.2   ,"2,952,468   ",61.9   ,"111,726   ",3.6   
30,Montana,2017,4,"834,459   ","527,068   ",63.2   ,"506,261   ",60.7   ,"20,807   ",3.9   
31,Nebraska,2017,4,"1,471,446   ","1,024,151   ",69.6   ,"994,835   ",67.6   ,"29,316   ",2.9   
32,Nevada,2017,4,"2,298,398   ","1,434,721   ",62.4   ,"1,361,615   ",59.2   ,"73,106   ",5.1   
33,New Hampshire,2017,4,"1,110,573   ","755,382   ",68.0   ,"734,618   ",66.1   ,"20,764   ",2.7   
34,New Jersey,2017,4,"7,258,939   ","4,611,161   ",63.5   ,"4,417,479   ",60.9   ,"193,682   ",4.2   
35,New Mexico,2017,4,"1,625,571   ","949,309   ",58.4   ,"893,142   ",54.9   ,"56,167   ",5.9   
36,New York,2017,4,"16,164,053   ","9,804,232   ",60.7   ,"9,378,099   ",58.0   ,"426,133   ",4.3   
51000,New York city,2017,4,"7,085,835   ","4,292,091   ",60.6   ,"4,112,994   ",58.0   ,"179,097   ",4.2   
37,North Carolina,2017,4,"7,909,881   ","4,841,113   ",61.2   ,"4,640,975   ",58.7   ,"200,138   ",4.1   
38,North Dakota,2017,4,"587,421   ","417,254   ",71.0   ,"405,945   ",69.1   ,"11,309   ",2.7   
39,Ohio,2017,4,"9,227,261   ","5,804,007   ",62.9   ,"5,533,589   ",60.0   ,"270,418   ",4.7   
40,Oklahoma,2017,4,"2,985,331   ","1,812,765   ",60.7   ,"1,746,247   ",58.5   ,"66,518   ",3.7   
41,Oregon,2017,4,"3,317,811   ","2,067,690   ",62.3   ,"1,990,903   ",60.0   ,"76,787   ",3.7   
42,Pennsylvania,2017,4,"10,348,227   ","6,476,719   ",62.6   ,"6,180,590   ",59.7   ,"296,129   ",4.6   
44,Rhode Island,2017,4,"881,040   ","563,748   ",64.0   ,"540,952   ",61.4   ,"22,796   ",4.0   
45,South Carolina,2017,4,"3,886,786   ","2,257,865   ",58.1   ,"2,178,895   ",56.1   ,"78,970   ",3.5   
46,South Dakota,2017,4,"657,120   ","454,957   ",69.2   ,"441,026   ",67.1   ,"13,931   ",3.1   
47,Tennessee,2017,4,"5,271,724   ","3,179,878   ",60.3   ,"3,071,607   ",58.3   ,"108,271   ",3.4   
48,Texas,2017,4,"21,067,528   ","13,473,635   ",64.0   ,"12,908,783   ",61.3   ,"564,852   ",4.2   
49,Utah,2017,4,"2,248,507   ","1,542,678   ",68.6   ,"1,494,691   ",66.5   ,"47,987   ",3.1   
50,Vermont,2017,4,"527,166   ","353,158   ",67.0   ,"341,511   ",64.8   ,"11,647   ",3.3   
51,Virginia,2017,4,"6,613,512   ","4,357,188   ",65.9   ,"4,204,995   ",63.6   ,"152,193   ",3.5   
53,Washington,2017,4,"5,828,817   ","3,699,811   ",63.5   ,"3,540,234   ",60.7   ,"159,577   ",4.3   
54,West Virginia,2017,4,"1,468,871   ","781,452   ",53.2   ,"742,967   ",50.6   ,"38,485   ",4.9   
55,Wisconsin,2017,4,"4,611,242   ","3,124,186   ",67.8   ,"3,028,205   ",65.7   ,"95,981   ",3.1   
56,Wyoming,2017,4,"446,019   ","291,618   ",65.4   ,"279,385   ",62.6   ,"12,233   ",4.2   
1,Alabama,2017,5,"3,885,734   ","2,195,532   ",56.5   ,"2,105,456   ",54.2   ,"90,076   ",4.1   
2,Alaska,2017,5,"546,537   ","361,422   ",66.1   ,"338,516   ",61.9   ,"22,906   ",6.3   
4,Arizona,2017,5,"5,329,287   ","3,225,742   ",60.5   ,"3,071,146   ",57.6   ,"154,596   ",4.8   
5,Arkansas,2017,5,"2,310,930   ","1,353,795   ",58.6   ,"1,305,322   ",56.5   ,"48,473   ",3.6   
6,California,2017,5,"30,778,619   ","19,137,144   ",62.2   ,"18,285,795   ",59.4   ,"851,349   ",4.4   
37,Los Angeles County,2017,5,"8,077,722   ","5,096,976   ",63.1   ,"4,870,869   ",60.3   ,"226,107   ",4.4   
8,Colorado,2017,5,"4,366,681   ","2,933,351   ",67.2   ,"2,866,071   ",65.6   ,"67,280   ",2.3   
9,Connecticut,2017,5,"2,899,596   ","1,930,896   ",66.6   ,"1,846,281   ",63.7   ,"84,615   ",4.4   
10,Delaware,2017,5,"762,744   ","471,748   ",61.8   ,"451,973   ",59.3   ,"19,775   ",4.2   
11,District of Columbia,2017,5,"557,586   ","393,478   ",70.6   ,"370,894   ",66.5   ,"22,584   ",5.7   
12,Florida,2017,5,"16,783,107   ","9,994,480   ",59.6   ,"9,582,914   ",57.1   ,"411,566   ",4.1   
13,Georgia,2017,5,"7,982,301   ","5,096,583   ",63.8   ,"4,855,862   ",60.8   ,"240,721   ",4.7   
15,Hawaii,2017,5,"1,120,338   ","695,981   ",62.1   ,"680,446   ",60.7   ,"15,535   ",2.2   
16,Idaho,2017,5,"1,310,221   ","836,012   ",63.8   ,"812,405   ",62.0   ,"23,607   ",2.8   
17,Illinois,2017,5,"10,140,930   ","6,531,413   ",64.4   ,"6,236,305   ",61.5   ,"295,108   ",4.5   
